Probe Set Name	Description
ENSG00000145912_at	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]
ENSG00000145916_at	required for meiotic nuclear division 5 homolog B [Source:HGNC Symbol;Acc:HGNC:26181]
ENSG00000145920_at	complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310]
ENSG00000145936_at	potassium channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]
ENSG00000145982_at	phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]
ENSG00000145990_at	glucose-fructose oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096]
ENSG00000145996_at	CDK5 regulatory subunit associated protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:21050]
ENSG00000146006_at	leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409]
ENSG00000146013_at	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]
ENSG00000146021_at	kelch-like family member 3 [Source:HGNC Symbol;Acc:HGNC:6354]
ENSG00000146039_at	solute carrier family 17, member 4 [Source:HGNC Symbol;Acc:HGNC:10932]
ENSG00000146067_at	family with sequence similarity 193, member B [Source:HGNC Symbol;Acc:HGNC:25524]
ENSG00000146070_at	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) [Source:HGNC Symbol;Acc:HGNC:9040]
ENSG00000146072_at	tumor necrosis factor receptor superfamily, member 21 [Source:HGNC Symbol;Acc:HGNC:13469]
ENSG00000146083_at	ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180]
ENSG00000146085_at	methylmalonyl CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]
ENSG00000146094_at	docking protein 3 [Source:HGNC Symbol;Acc:HGNC:24583]
ENSG00000146109_at	activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]
ENSG00000146122_at	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]
ENSG00000146143_at	primase, DNA, polypeptide 2 (58kDa) [Source:HGNC Symbol;Acc:HGNC:9370]
ENSG00000146166_at	lengsin, lens protein with glutamine synthetase domain [Source:HGNC Symbol;Acc:HGNC:21016]
ENSG00000146192_at	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]
ENSG00000146232_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon [Source:HGNC Symbol;Acc:HGNC:7799]
ENSG00000146233_at	cytochrome P450, family 39, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:17449]
ENSG00000146242_at	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]
ENSG00000146247_at	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]
ENSG00000146276_at	gamma-aminobutyric acid (GABA) A receptor, rho 1 [Source:HGNC Symbol;Acc:HGNC:4090]
ENSG00000146278_at	proline-rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]
ENSG00000146360_at	G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]
ENSG00000146378_at	trace amine associated receptor 2 [Source:HGNC Symbol;Acc:HGNC:4514]
ENSG00000146425_at	dynein, light chain, Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]
ENSG00000146457_at	Wilms tumor 1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]
ENSG00000146463_at	zinc finger, MYM-type 4 [Source:HGNC Symbol;Acc:HGNC:13055]
ENSG00000146469_at	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]
ENSG00000146476_at	acidic residue methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17872]
ENSG00000146477_at	solute carrier family 22 (organic cation transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:10967]
ENSG00000146521_at	long intergenic non-protein coding RNA 1558 [Source:HGNC Symbol;Acc:HGNC:21235]
ENSG00000146535_at	guanine nucleotide binding protein (G protein) alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]
ENSG00000146576_at	chromosome 7 open reading frame 26 [Source:HGNC Symbol;Acc:HGNC:21702]
ENSG00000146592_at	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]
ENSG00000146648_at	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]
ENSG00000146674_at	insulin-like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]
ENSG00000146678_at	insulin-like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]
ENSG00000146701_at	malate dehydrogenase 2, NAD (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:6971]
ENSG00000146729_at	glioblastoma amplified sequence [Source:HGNC Symbol;Acc:HGNC:4179]
ENSG00000146731_at	chaperonin containing TCP1, subunit 6A (zeta 1) [Source:HGNC Symbol;Acc:HGNC:1620]
ENSG00000146733_at	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]
ENSG00000146776_at	ataxin 7-like 1 [Source:HGNC Symbol;Acc:HGNC:22210]
ENSG00000146802_at	transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]
ENSG00000146826_at	chromosome 7 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25604]
ENSG00000146828_at	solute carrier family 12, member 9 [Source:HGNC Symbol;Acc:HGNC:17435]
ENSG00000146834_at	methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247]
ENSG00000146842_at	transmembrane protein 209 [Source:HGNC Symbol;Acc:HGNC:21898]
ENSG00000146856_at	ATP/GTP binding protein-like 3 [Source:HGNC Symbol;Acc:HGNC:27981]
ENSG00000146859_at	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]
ENSG00000146872_at	tousled-like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]
ENSG00000146904_at	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]
ENSG00000146918_at	non-SMC condensin II complex, subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]
ENSG00000146938_at	neuroligin 4, X-linked [Source:HGNC Symbol;Acc:HGNC:14287]
ENSG00000146950_at	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]
ENSG00000146963_at	C7orf55-LUC7L2 readthrough [Source:HGNC Symbol;Acc:HGNC:44671]
ENSG00000146966_at	DENN/MADD domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]
ENSG00000147027_at	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]
ENSG00000147044_at	calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Source:HGNC Symbol;Acc:HGNC:1497]
ENSG00000147050_at	lysine (K)-specific demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]
ENSG00000147059_at	spindlin family, member 2A [Source:HGNC Symbol;Acc:HGNC:20694]
ENSG00000147065_at	moesin [Source:HGNC Symbol;Acc:HGNC:7373]
ENSG00000147081_at	A kinase (PRKA) anchor protein 4 [Source:HGNC Symbol;Acc:HGNC:374]
ENSG00000147100_at	solute carrier family 16, member 2 (thyroid hormone transporter) [Source:HGNC Symbol;Acc:HGNC:10923]
ENSG00000147113_at	chromosome X open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:25866]
ENSG00000147117_at	zinc finger protein 157 [Source:HGNC Symbol;Acc:HGNC:12942]
ENSG00000147119_at	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 [Source:HGNC Symbol;Acc:HGNC:13817]
ENSG00000147121_at	KRAB box domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26007]
ENSG00000147123_at	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa [Source:HGNC Symbol;Acc:HGNC:20372]
ENSG00000147124_at	zinc finger protein 41 [Source:HGNC Symbol;Acc:HGNC:13107]
ENSG00000147130_at	zinc finger, MYM-type 3 [Source:HGNC Symbol;Acc:HGNC:13054]
ENSG00000147133_at	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa [Source:HGNC Symbol;Acc:HGNC:11535]
ENSG00000147140_at	non-POU domain containing, octamer-binding [Source:HGNC Symbol;Acc:HGNC:7871]
ENSG00000147145_at	lysophosphatidic acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:4478]
ENSG00000147155_at	emopamil binding protein (sterol isomerase) [Source:HGNC Symbol;Acc:HGNC:3133]
ENSG00000147162_at	O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]
ENSG00000147166_at	integrin beta 1 binding protein (melusin) 2 [Source:HGNC Symbol;Acc:HGNC:6154]
ENSG00000147168_at	interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:HGNC:6010]
ENSG00000147180_at	zinc finger protein 711 [Source:HGNC Symbol;Acc:HGNC:13128]
ENSG00000147202_at	diaphanous-related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]
ENSG00000147206_at	nuclear RNA export factor 3 [Source:HGNC Symbol;Acc:HGNC:8073]
ENSG00000147224_at	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]
ENSG00000147231_at	chromosome X open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:25486]
ENSG00000147246_at	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled [Source:HGNC Symbol;Acc:HGNC:5295]
ENSG00000147255_at	immunoglobulin superfamily, member 1 [Source:HGNC Symbol;Acc:HGNC:5948]
ENSG00000147257_at	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]
ENSG00000147316_at	microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]
ENSG00000147324_at	malignant fibrous histiocytoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:16982]
ENSG00000147381_at	melanoma antigen family A4 [Source:HGNC Symbol;Acc:HGNC:6802]
ENSG00000147383_at	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]
ENSG00000147394_at	zinc finger protein 185 (LIM domain) [Source:HGNC Symbol;Acc:HGNC:12976]
ENSG00000147400_at	centrin, EF-hand protein, 2 [Source:HGNC Symbol;Acc:HGNC:1867]
ENSG00000147403_at	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]
ENSG00000147408_at	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]
ENSG00000147416_at	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]
ENSG00000147419_at	coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]
ENSG00000147421_at	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]
ENSG00000147432_at	cholinergic receptor, nicotinic, beta 3 (neuronal) [Source:HGNC Symbol;Acc:HGNC:1963]
ENSG00000147434_at	cholinergic receptor, nicotinic, alpha 6 (neuronal) [Source:HGNC Symbol;Acc:HGNC:15963]
ENSG00000147437_at	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone) [Source:HGNC Symbol;Acc:HGNC:4419]
ENSG00000147439_at	bridging integrator 3 [Source:HGNC Symbol;Acc:HGNC:1054]
ENSG00000147443_at	docking protein 2, 56kDa [Source:HGNC Symbol;Acc:HGNC:2991]
ENSG00000147454_at	solute carrier family 25 (mitochondrial iron transporter), member 37 [Source:HGNC Symbol;Acc:HGNC:29786]
ENSG00000147457_at	charged multivesicular body protein 7 [Source:HGNC Symbol;Acc:HGNC:28439]
ENSG00000147459_at	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]
ENSG00000147465_at	steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]
ENSG00000147471_at	proline synthetase co-transcribed homolog (bacterial) [Source:HGNC Symbol;Acc:HGNC:9457]
ENSG00000147475_at	ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]
ENSG00000147481_at	syntrophin, gamma 1 [Source:HGNC Symbol;Acc:HGNC:13740]
ENSG00000147488_at	suppression of tumorigenicity 18, zinc finger [Source:HGNC Symbol;Acc:HGNC:18695]
ENSG00000147509_at	regulator of G-protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]
ENSG00000147526_at	transforming, acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]
ENSG00000147533_at	golgin A7 [Source:HGNC Symbol;Acc:HGNC:24876]
ENSG00000147536_at	GINS complex subunit 4 (Sld5 homolog) [Source:HGNC Symbol;Acc:HGNC:28226]
ENSG00000147548_at	Wolf-Hirschhorn syndrome candidate 1-like 1 [Source:HGNC Symbol;Acc:HGNC:12767]
ENSG00000147571_at	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]
ENSG00000147588_at	peripheral myelin protein 2 [Source:HGNC Symbol;Acc:HGNC:9117]
ENSG00000147592_at	lactamase, beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]
ENSG00000147596_at	PR domain containing 14 [Source:HGNC Symbol;Acc:HGNC:14001]
ENSG00000147601_at	telomeric repeat binding factor (NIMA-interacting) 1 [Source:HGNC Symbol;Acc:HGNC:11728]
ENSG00000147642_at	syntabulin (syntaxin-interacting) [Source:HGNC Symbol;Acc:HGNC:26011]
ENSG00000147647_at	dihydropyrimidinase [Source:HGNC Symbol;Acc:HGNC:3013]
ENSG00000147649_at	metadherin [Source:HGNC Symbol;Acc:HGNC:29608]
ENSG00000147650_at	low density lipoprotein receptor-related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]
ENSG00000147654_at	estrogen receptor binding site associated, antigen, 9 [Source:HGNC Symbol;Acc:HGNC:3123]
ENSG00000147669_at	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa [Source:HGNC Symbol;Acc:HGNC:9198]
ENSG00000147677_at	eukaryotic translation initiation factor 3, subunit H [Source:HGNC Symbol;Acc:HGNC:3273]
ENSG00000147789_at	zinc finger protein 7 [Source:HGNC Symbol;Acc:HGNC:13139]
ENSG00000147804_at	solute carrier family 39 (zinc transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:17129]
ENSG00000147852_at	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]
ENSG00000147862_at	nuclear factor I/B [Source:HGNC Symbol;Acc:HGNC:7785]
ENSG00000147869_at	cerberus 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:1862]
ENSG00000147872_at	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
ENSG00000147873_at	interferon, alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]
ENSG00000147874_at	HAUS augmin-like complex, subunit 6 [Source:HGNC Symbol;Acc:HGNC:25948]
ENSG00000147883_at	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) [Source:HGNC Symbol;Acc:HGNC:1788]
ENSG00000147889_at	cyclin-dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]
ENSG00000147955_at	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]
ENSG00000148053_at	neurotrophic tyrosine kinase, receptor, type 2 [Source:HGNC Symbol;Acc:HGNC:8032]
ENSG00000148082_at	SHC (Src homology 2 domain containing) transforming protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]
ENSG00000148090_at	AU RNA binding protein/enoyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]
ENSG00000148120_at	chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:1361]
ENSG00000148123_at	Lipid phosphate phosphatase-related protein type 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8TBJ4]
ENSG00000148154_at	UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]
ENSG00000148156_at	actin-like 7B [Source:HGNC Symbol;Acc:HGNC:162]
ENSG00000148175_at	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]
ENSG00000148180_at	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]
ENSG00000148200_at	nuclear receptor subfamily 6, group A, member 1 [Source:HGNC Symbol;Acc:HGNC:7985]
ENSG00000148218_at	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]
ENSG00000148219_at	astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]
ENSG00000148229_at	polymerase (DNA directed), epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]
ENSG00000148290_at	surfeit 1 [Source:HGNC Symbol;Acc:HGNC:11474]
ENSG00000148291_at	surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475]
ENSG00000148297_at	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]
ENSG00000148300_at	REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]
ENSG00000148308_at	general transcription factor IIIC, polypeptide 5, 63kDa [Source:HGNC Symbol;Acc:HGNC:4668]
ENSG00000148331_at	ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]
ENSG00000148334_at	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]
ENSG00000148337_at	CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
ENSG00000148341_at	SH3-domain GRB2-like endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]
ENSG00000148344_at	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]
ENSG00000148346_at	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]
ENSG00000148358_at	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]
ENSG00000148384_at	inositol polyphosphate-5-phosphatase, 72 kDa [Source:HGNC Symbol;Acc:HGNC:21474]
ENSG00000148396_at	SEC16 homolog A, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:29006]
ENSG00000148400_at	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
ENSG00000148408_at	calcium channel, voltage-dependent, N type, alpha 1B subunit [Source:HGNC Symbol;Acc:HGNC:1389]
ENSG00000148411_at	NACC family member 2, BEN and BTB (POZ) domain containing [Source:HGNC Symbol;Acc:HGNC:23846]
ENSG00000148429_at	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]
ENSG00000148450_at	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]
ENSG00000148459_at	prenyl (decaprenyl) diphosphate synthase, subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]
ENSG00000148468_at	family with sequence similarity 171, member A1 [Source:HGNC Symbol;Acc:HGNC:23522]
ENSG00000148481_at	family with sequence similarity 188, member A [Source:HGNC Symbol;Acc:HGNC:23578]
ENSG00000148484_at	Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]
ENSG00000148498_at	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]
ENSG00000148516_at	zinc finger E-box binding homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11642]
ENSG00000148541_at	family with sequence similarity 13, member C [Source:HGNC Symbol;Acc:HGNC:19371]
ENSG00000148572_at	nuclear receptor binding factor 2 [Source:HGNC Symbol;Acc:HGNC:19692]
ENSG00000148584_at	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]
ENSG00000148600_at	cadherin-related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]
ENSG00000148602_at	leucine-rich repeat, immunoglobulin-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]
ENSG00000148604_at	retinal G protein coupled receptor [Source:HGNC Symbol;Acc:HGNC:9990]
ENSG00000148634_at	HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521]
ENSG00000148660_at	calcium/calmodulin-dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]
ENSG00000148671_at	adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043]
ENSG00000148672_at	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]
ENSG00000148677_at	ankyrin repeat domain 1 (cardiac muscle) [Source:HGNC Symbol;Acc:HGNC:15819]
ENSG00000148680_at	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled [Source:HGNC Symbol;Acc:HGNC:5302]
ENSG00000148688_at	ribonuclease P/MRP 30kDa subunit [Source:HGNC Symbol;Acc:HGNC:17688]
ENSG00000148700_at	adducin 3 (gamma) [Source:HGNC Symbol;Acc:HGNC:245]
ENSG00000148702_at	hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798]
ENSG00000148719_at	DnaJ (Hsp40) homolog, subfamily B, member 12 [Source:HGNC Symbol;Acc:HGNC:14891]
ENSG00000148730_at	eukaryotic translation initiation factor 4E binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3289]
ENSG00000148734_at	neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]
ENSG00000148735_at	pleckstrin homology domain containing, family S member 1 [Source:HGNC Symbol;Acc:HGNC:26285]
ENSG00000148737_at	transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:HGNC:11641]
ENSG00000148773_at	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
ENSG00000148795_at	cytochrome P450, family 17, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2593]
ENSG00000148798_at	internexin neuronal intermediate filament protein, alpha [Source:HGNC Symbol;Acc:HGNC:6057]
ENSG00000148832_at	polyamine oxidase (exo-N4-amino) [Source:HGNC Symbol;Acc:HGNC:20837]
ENSG00000148834_at	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]
ENSG00000148835_at	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa [Source:HGNC Symbol;Acc:HGNC:11539]
ENSG00000148840_at	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
ENSG00000148842_at	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]
ENSG00000148843_at	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]
ENSG00000148848_at	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]
ENSG00000148908_at	regulator of G-protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]
ENSG00000148926_at	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
ENSG00000148935_at	growth arrest-specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]
ENSG00000148942_at	solute carrier family 5 (sodium/monocarboxylate cotransporter), member 12 [Source:HGNC Symbol;Acc:HGNC:28750]
ENSG00000148943_at	lin-7 homolog C (C. elegans) [Source:HGNC Symbol;Acc:HGNC:17789]
ENSG00000148985_at	post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:HGNC:17893]
ENSG00000149016_at	terminal uridylyl transferase 1, U6 snRNA-specific [Source:HGNC Symbol;Acc:HGNC:26184]
ENSG00000149021_at	secretoglobin, family 1A, member 1 (uteroglobin) [Source:HGNC Symbol;Acc:HGNC:12523]
ENSG00000149050_at	zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006]
ENSG00000149054_at	zinc finger protein 215 [Source:HGNC Symbol;Acc:HGNC:13007]
ENSG00000149084_at	hydroxysteroid (17-beta) dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]
ENSG00000149090_at	peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554]
ENSG00000149091_at	diacylglycerol kinase, zeta [Source:HGNC Symbol;Acc:HGNC:2857]
ENSG00000149100_at	eukaryotic translation initiation factor 3, subunit M [Source:HGNC Symbol;Acc:HGNC:24460]
ENSG00000149124_at	glycine-N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:13734]
ENSG00000149131_at	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 [Source:HGNC Symbol;Acc:HGNC:1228]
ENSG00000149136_at	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]
ENSG00000149150_at	solute carrier family 43 (amino acid system L transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:9225]
ENSG00000149177_at	protein tyrosine phosphatase, receptor type, J [Source:HGNC Symbol;Acc:HGNC:9673]
ENSG00000149179_at	chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28720]
ENSG00000149182_at	ADP-ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]
ENSG00000149187_at	CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]
ENSG00000149196_at	chromosome 11 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:26938]
ENSG00000149201_at	coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281]
ENSG00000149218_at	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSG00000149243_at	kelch-like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]
ENSG00000149256_at	teneurin transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:29945]
ENSG00000149257_at	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]
ENSG00000149260_at	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]
ENSG00000149269_at	p21 protein (Cdc42/Rac)-activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]
ENSG00000149273_at	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]
ENSG00000149292_at	tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:23700]
ENSG00000149294_at	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]
ENSG00000149295_at	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]
ENSG00000149305_at	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic [Source:HGNC Symbol;Acc:HGNC:5298]
ENSG00000149308_at	nuclear protein, ataxia-telangiectasia locus [Source:HGNC Symbol;Acc:HGNC:7896]
ENSG00000149311_at	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]
ENSG00000149313_at	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]
ENSG00000149328_at	galactosidase, beta 1-like 2 [Source:HGNC Symbol;Acc:HGNC:25129]
ENSG00000149403_at	glutamate receptor, ionotropic, kainate 4 [Source:HGNC Symbol;Acc:HGNC:4582]
ENSG00000149418_at	suppression of tumorigenicity 14 (colon carcinoma) [Source:HGNC Symbol;Acc:HGNC:11344]
ENSG00000149428_at	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]
ENSG00000149435_at	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]
ENSG00000149452_at	solute carrier family 22 (organic anion transporter), member 8 [Source:HGNC Symbol;Acc:HGNC:10972]
ENSG00000149476_at	triokinase/FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]
ENSG00000149480_at	metastasis associated 1 family, member 2 [Source:HGNC Symbol;Acc:HGNC:7411]
ENSG00000149485_at	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]
ENSG00000149489_at	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]
